client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154280.mp3	6d0344d01ced3418dc13b9831ca92dfc8333f987cc28f39e3fbb1a0c86208798	خودم را بریدم.		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154281.mp3	56c555a90b87569b856815da577c530a40c554b50884563cacf4f4a991e901d5	خلاصهای از این داستان را بنویسید.		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154282.mp3	69790284b6461e95f156ada5066ee88897e6d03d3c3c3e15072941bf5a485b09	آزاد ماهیها برای تخم ریزی به بالای رود خانه میروند.		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154283.mp3	697ad19982a48d34324687472a08b0fb519ea017e788a65951658914c308c22d	تشک مهمان		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154284.mp3	6cace31502ce1936b25b9dae1498952a96e4da72322392421089e5e4bb66a7e2	افسانهی دلاوریهای جلالالدین خوارزمشاهی		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154285.mp3	67a0838d933f2d3414dc865091f5e086e233cd0f061d93737a41d13b4cc7aa06	در شهر گشتن		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154286.mp3	69993e7b738f230188bd7c0dd154c680f1598ed9c7e6cb29dfaeb01bd5248f24	خبرنگار رادیو		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154287.mp3	6bf8df7703006bf0a858d472b53da8cdd7ff64169c2a94c7dacf08c3ab6ac59e	اشکال تنفسی		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154288.mp3	61b16c389e4d3165514b72318ce7e34f7bdd21ebab028e78a373d024717bb8b5	اینقدر بدگمان نباش، همهی شاگردان از تو بیزار نیستند!		2	0	teens	female_feminine			fa	
9f38ec8d73035fdd31a47c5168faaa0a5462630fcc585b4cbf5ab7c88b96c307aceda2b8699acdab0c8dbf0e37dc51d8e19e32e844b641149f126d10f9246514	common_voice_fa_25154289.mp3	680fc20d94e93013ada5a39467be491adc470d0e13cb3488e632b2d71ab00c4e	با همهی وجود تلاش کردند تا راضیش کنند.		2	0	teens	female_feminine			fa	
