language,task,technique,ratio,seed,spearman,pearson,n_selected
de,any_words_from_category_3_distractors,difficulty_stratified,0.01,42,0.9788792053344855,0.9842235151945062,30
de,first_letter,difficulty_easy,0.01,42,0.9784685621531674,0.978973978508663,30
de,any_words_from_category_5_distractors,difficulty_stratified,0.01,42,0.9746401127686177,0.9938150541435162,30
de,all_words_from_category_2_distractors,difficulty_stratified,0.01,42,0.9722461218529974,0.9902908887197153,30
de,all_words_from_category_1_distractors,difficulty_stratified,0.01,42,0.9716028607659835,0.988335409097684,30
de,bigger_number,difficulty_stratified,0.01,42,0.9680916993774442,0.975001874744275,30
de,any_words_from_category_4_distractors,difficulty_stratified,0.01,42,0.9661156211940718,0.9792861985649548,30
de,all_words_from_category_0_distractors,difficulty_stratified,0.01,42,0.9623964019712118,0.9803010991459857,30
de,most_associated_word,difficulty_easy,0.01,42,0.9600766087417933,0.9488403611257608,30
de,least_associated_word,difficulty_easy,0.01,42,0.9597956388231679,0.9780826264890683,30
de,first_alphabetically_consecutive_first_letter,difficulty_easy,0.02,42,0.957645535617927,0.9028719789606687,60
de,first_alphabetically_same_first_letter,difficulty_easy,0.02,42,0.9575474667531878,0.9114539379593816,60
de,sentence_not_containing,difficulty_stratified,0.01,42,0.9562382521394712,0.9740691178548078,30
de,sentence_containing,difficulty_mid,0.07,42,0.9506268426932603,0.929942907394364,210
de,less_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9476298344169619,0.9611897922617938,30
de,starts_with_letter,difficulty_easy,0.07,42,0.9459323192204163,0.9610035418939687,5
de,first_word,difficulty_easy,0.02,42,0.9442606487730955,0.9098759080087406,60
de,any_words_from_category,difficulty_stratified,0.12,42,0.9433219810763817,0.9963129053013235,360
de,more_letters_length_diff_3plus,difficulty_stratified,0.01,42,0.9402439702021755,0.955957552736984,30
de,first_alphabetically_far_first_letter,difficulty_stratified,0.02,42,0.9394128104470152,0.9898163614788289,60
de,first_alphabetically_different_first_letter,difficulty_stratified,0.02,42,0.9374512238222719,0.9900972695285803,60
de,less_letters,difficulty_stratified,0.02,42,0.9340935639712056,0.9634358645532006,60
de,ends_with_letter,difficulty_hard,0.25,42,0.9339632673935404,0.9622267887105262,18
de,first_alphabetically,difficulty_stratified,0.02,42,0.9337079561722903,0.989801369590583,60
de,starts_with_word,difficulty_mid,0.02,42,0.9330993468812975,0.9287414941517012,9
de,word_containing,difficulty_easy,0.18,42,0.9258911058948202,0.9564930762143755,16
de,more_letters_length_diff_1,difficulty_stratified,0.01,42,0.9255907118609823,0.9219004706079491,30
de,last_word,difficulty_easy,0.03,42,0.9243611245137169,0.9180205559578958,90
de,ends_with_word,difficulty_stratified,0.02,42,0.9239898005499536,0.9819159195472265,57
de,less_letters_length_diff_1,difficulty_stratified,0.02,42,0.9231467161454396,0.9441128895166737,60
de,word_not_containing,difficulty_easy,0.1,42,0.9190043694538657,0.9822884981003901,9
de,more_letters,difficulty_stratified,0.01,42,0.9189991889897051,0.9242292476296672,30
de,rhyming_word_orthographically_similar,difficulty_easy,0.03,42,0.9151481248621658,0.9439483585139139,90
de,last_letter,difficulty_stratified,0.02,42,0.9149216808740033,0.9905887861565172,60
de,word_before,difficulty_easy,0.03,42,0.9105066565172651,0.9589988863488547,90
de,word_after,difficulty_stratified,0.03,42,0.9097428893318298,0.9930762623603249,90
de,rhyming_word,difficulty_hard,0.25,42,0.9094954621448792,0.9988933686402541,750
de,homophones,difficulty_easy,0.01,42,0.9083445170037785,0.9587495759454067,47
de,all_words_from_category,difficulty_stratified,0.03,42,0.9054546171383671,0.9704081700020463,90
de,smaller_number,difficulty_stratified,0.01,42,0.9051175249832171,0.9755891511654546,30
